trial,distance_m,response
1,0.000,BEHIND
2,0.500,BEHIND
3,0.080,BEHIND
4,-0.500,BEFORE
5,-0.300,BEFORE
6,-0.040,BEFORE
7,-0.200,BEFORE
8,0.120,BEHIND
9,-0.120,BEFORE
10,0.300,BEHIND
11,-0.080,BEFORE
12,0.200,BEHIND
13,0.040,BEHIND
1,0.300,BEHIND
2,-0.080,BEFORE
3,0.080,BEHIND
4,-0.040,BEFORE
5,-0.120,BEFORE
6,-0.300,BEFORE
7,0.000,BEHIND
8,0.040,BEHIND
9,-0.200,BEFORE
10,-0.500,BEFORE
11,0.500,BEHIND
12,0.120,BEHIND
13,0.200,BEHIND
1,0.200,BEHIND
2,0.120,BEHIND
3,0.500,BEHIND
4,0.040,BEHIND
5,-0.500,BEFORE
6,-0.200,BEFORE
7,-0.120,BEFORE
8,-0.080,BEFORE
9,0.080,BEHIND
10,-0.300,BEFORE
11,0.300,BEHIND
12,-0.040,BEFORE
13,0.000,BEHIND
1,0.200,BEHIND
2,0.120,BEHIND
3,0.040,BEHIND
4,-0.120,BEFORE
5,-0.500,BEFORE
6,-0.040,BEFORE
7,0.300,BEHIND
8,-0.200,BEFORE
9,0.000,BEFORE
10,0.500,BEHIND
11,0.080,BEHIND
12,-0.080,BEFORE
13,-0.300,BEFORE
