trial,distance_m,response
1,-0.120,BEFORE
2,0.120,BEHIND
3,-0.300,BEFORE
4,-0.040,BEFORE
5,-0.080,BEFORE
6,0.200,BEHIND
7,-0.500,BEFORE
8,-0.200,BEFORE
9,0.000,BEFORE
10,0.040,BEFORE
11,0.500,BEHIND
12,0.080,BEHIND
13,0.300,BEHIND
1,-0.040,BEFORE
2,-0.500,BEFORE
3,0.200,BEHIND
4,0.120,BEHIND
5,0.040,BEFORE
6,0.080,BEHIND
7,-0.200,BEFORE
8,0.000,BEFORE
9,-0.080,BEFORE
10,0.500,BEHIND
11,-0.120,BEFORE
12,0.300,BEHIND
13,-0.300,BEFORE
1,0.000,BEFORE
2,0.040,BEFORE
3,-0.500,BEFORE
4,0.080,BEHIND
5,0.200,BEHIND
6,0.120,BEHIND
7,0.300,BEHIND
8,-0.300,BEFORE
9,-0.040,BEFORE
10,-0.080,BEFORE
11,-0.200,BEFORE
12,0.500,BEHIND
13,-0.120,BEFORE
1,0.300,BEHIND
2,-0.300,BEFORE
3,0.080,BEHIND
4,0.000,BEFORE
5,-0.040,BEFORE
6,-0.200,BEFORE
7,0.500,BEHIND
8,-0.500,BEFORE
9,0.200,BEHIND
10,-0.080,BEFORE
11,0.120,BEHIND
12,-0.120,BEFORE
13,0.040,BEHIND
