trial,distance_m,response
1,0.060,BEFORE
2,0.120,BEHIND
3,-0.060,BEFORE
4,-0.120,BEFORE
5,0.020,BEFORE
6,-0.080,BEFORE
7,0.080,BEHIND
8,-0.020,BEFORE
9,-0.040,BEFORE
10,0.040,BEFORE
11,0.000,BEFORE
1,0.120,BEHIND
2,0.020,BEFORE
3,0.040,BEFORE
4,0.060,BEFORE
5,-0.020,BEFORE
6,0.080,BEHIND
7,-0.040,BEFORE
8,0.000,BEFORE
9,-0.080,BEFORE
10,-0.060,BEFORE
11,-0.120,BEFORE
1,0.040,BEFORE
2,0.020,BEFORE
3,-0.040,BEFORE
4,-0.080,BEFORE
5,-0.120,BEFORE
6,0.060,BEFORE
7,0.000,BEFORE
8,0.080,BEHIND
9,0.120,BEHIND
10,-0.060,BEFORE
11,-0.020,BEFORE
1,-0.080,BEFORE
2,0.000,BEFORE
3,-0.040,BEFORE
4,0.020,BEFORE
5,0.060,BEFORE
6,0.080,BEHIND
7,0.040,BEFORE
8,-0.120,BEFORE
9,-0.020,BEFORE
10,-0.060,BEFORE
11,0.120,BEHIND
1,0.080,BEHIND
2,-0.020,BEFORE
3,-0.040,BEFORE
4,0.120,BEHIND
5,0.040,BEFORE
6,-0.060,BEFORE
7,-0.120,BEFORE
8,0.060,BEHIND
9,0.020,BEFORE
10,-0.080,BEFORE
11,0.000,BEFORE
1,0.000,BEFORE
2,0.120,BEHIND
3,0.040,BEFORE
4,0.020,BEFORE
5,-0.040,BEFORE
6,-0.080,BEFORE
7,-0.060,BEFORE
8,-0.020,BEFORE
9,0.060,BEHIND
10,-0.120,BEFORE
11,0.080,BEHIND
